Timestamp,Battery_Charge_kW,Battery_Discharge_kW,SOC_kWh,Load_kW,Solar_kW,Grid_Import_kW,Grid_Export_kW
2025-01-01 09:00:00,0.4378,0.0,1.4159,1.3909,1.8287,0.0,0.0
2025-01-01 10:00:00,0.9066,0.0,2.2772,1.6311,2.5377,0.0,0.0
2025-01-01 11:00:00,1.1156,0.0,3.337,1.0709,2.1866,0.0,0.0
2025-01-01 12:00:00,0.9329,0.0,4.2233,1.1557,2.0886,0.0,0.0
2025-01-01 13:00:00,1.1107,0.0,5.2784,1.0088,2.1194,0.0,0.0
2025-01-01 14:00:00,1.1353,0.0,6.357,1.149,2.2843,0.0,0.0
2025-01-01 15:00:00,0.6078,0.0,6.9344,1.0741,1.6819,0.0,0.0
2025-01-01 16:00:00,2.5211,0.0,9.3294,1.352,1.409,2.464,0.0
2025-01-01 17:00:00,0.0,1.048,8.2263,1.934,0.886,0.0,0.0
2025-01-01 18:00:00,0.0,1.94,6.1842,1.94,0.0,0.0,0.0
2025-01-01 19:00:00,0.0,1.961,4.12,1.961,0.0,0.0,0.0
2025-01-01 20:00:00,0.0,1.8775,2.1437,1.8775,0.0,0.0,0.0
2025-01-01 21:00:00,0.0,1.0865,1.0,1.0865,0.0,0.0,0.0
2025-01-02 09:00:00,0.4154,0.0,1.3946,1.5214,1.9368,0.0,0.0
2025-01-02 10:00:00,0.9354,0.0,2.2833,1.3123,2.2478,0.0,0.0
2025-01-02 11:00:00,1.2796,0.0,3.4989,1.0817,2.3613,0.0,0.0
2025-01-02 12:00:00,1.0448,0.0,4.4915,1.0117,2.0565,0.0,0.0
2025-01-02 13:00:00,1.1893,0.0,5.6213,1.1324,2.3217,0.0,0.0
2025-01-02 14:00:00,0.668,0.0,6.2559,1.1329,1.8009,0.0,0.0
2025-01-02 15:00:00,0.8425,0.0,7.0563,1.0334,1.8759,0.0,0.0
2025-01-02 16:00:00,2.3083,0.0,9.2491,1.5889,1.3871,2.5101,0.0
2025-01-02 17:00:00,0.0,1.1227,8.0673,1.9002,0.7775,0.0,0.0
2025-01-02 18:00:00,0.0,1.8892,6.0786,1.8892,0.0,0.0,0.0
2025-01-02 19:00:00,0.0,1.9261,4.0512,1.9261,0.0,0.0,0.0
2025-01-02 20:00:00,0.0,1.8724,2.0803,1.8724,0.0,0.0,0.0
2025-01-02 21:00:00,0.0,1.0263,1.0,1.0263,0.0,0.0,0.0
2025-01-03 09:00:00,0.4811,0.0,1.4571,1.6426,2.1238,0.0,0.0
2025-01-03 10:00:00,0.972,0.0,2.3805,1.4728,2.4448,0.0,0.0
2025-01-03 11:00:00,0.8583,0.0,3.1958,1.13,1.9882,0.0,0.0
2025-01-03 12:00:00,1.1583,0.0,4.2962,1.0083,2.1666,0.0,0.0
2025-01-03 13:00:00,0.9782,0.0,5.2255,1.0289,2.0071,0.0,0.0
2025-01-03 14:00:00,1.1126,0.0,6.2825,1.0341,2.1468,0.0,0.0
2025-01-03 15:00:00,0.8666,0.0,7.1058,1.0694,1.936,0.0,0.0
2025-01-03 16:00:00,2.2784,0.0,9.2702,1.6834,1.5942,2.3676,0.0
2025-01-03 17:00:00,0.0,0.9932,8.2247,1.8166,0.8233,0.0,0.0
2025-01-03 18:00:00,0.0,1.9876,6.1325,1.9876,0.0,0.0,0.0
2025-01-03 19:00:00,0.0,1.8534,4.1816,1.8534,0.0,0.0,0.0
2025-01-03 20:00:00,0.0,1.8663,2.2171,1.8663,0.0,0.0,0.0
2025-01-03 21:00:00,0.0,1.1562,1.0,1.1562,0.0,0.0,0.0
2025-01-04 09:00:00,0.8602,0.0,1.8172,1.3035,2.1637,0.0,0.0
2025-01-04 10:00:00,1.0043,0.0,2.7713,1.2842,2.2885,0.0,0.0
2025-01-04 11:00:00,0.6543,0.0,3.3928,0.9927,1.647,0.0,0.0
2025-01-04 12:00:00,0.8257,0.0,4.1772,0.9296,1.7553,0.0,0.0
2025-01-04 13:00:00,0.5875,0.0,4.7354,1.0786,1.6661,0.0,0.0
2025-01-04 14:00:00,1.1445,0.0,5.8226,1.0603,2.2048,0.0,0.0
2025-01-04 15:00:00,0.9015,0.0,6.6791,0.9569,1.8584,0.0,0.0
2025-01-04 16:00:00,1.8316,0.0,8.4191,1.3045,1.4557,1.6804,0.0
2025-01-04 17:00:00,0.0,0.8897,7.4825,1.6672,0.7775,0.0,0.0
2025-01-04 18:00:00,0.0,1.6421,5.754,1.6421,0.0,0.0,0.0
2025-01-04 19:00:00,0.0,1.6523,4.0148,1.6523,0.0,0.0,0.0
2025-01-04 20:00:00,0.0,1.7279,2.1959,1.7279,0.0,0.0,0.0
2025-01-04 21:00:00,0.0,1.1361,1.0,1.1361,0.0,0.0,0.0
2025-01-05 08:00:00,0.1319,0.0,1.1253,1.4399,1.5718,0.0,0.0
2025-01-05 10:00:00,0.7899,0.0,1.8757,1.5039,2.2938,0.0,0.0
2025-01-05 11:00:00,1.0182,0.0,2.8431,0.988,2.0062,0.0,0.0
2025-01-05 12:00:00,0.7119,0.0,3.5194,0.9516,1.6635,0.0,0.0
2025-01-05 13:00:00,1.1794,0.0,4.6398,0.9999,2.1794,0.0,0.0
2025-01-05 14:00:00,1.0411,0.0,5.6289,0.9253,1.9664,0.0,0.0
2025-01-05 15:00:00,1.0525,0.0,6.6287,1.0073,2.0598,0.0,0.0
2025-01-05 16:00:00,1.7628,0.0,8.3034,1.3383,1.3393,1.7618,0.0
2025-01-05 17:00:00,0.0,0.7602,7.5032,1.6396,0.8794,0.0,0.0
