Timestamp,Load_kW,Solar_kW,Solar_utilized_kW,Grid_Import_kW,Grid_Export_kW,Battery_Charge_kW,Battery_Discharge_kW,Battery_Net_kW,SOC_kWh
2025-01-01 00:00:00,1.2322,0.0,0.0,1.2322,0.0,0.0,0.0,0.0,1.0
2025-01-01 01:00:00,1.1317,0.0,0.0,1.1317,0.0,0.0,0.0,0.0,1.0
2025-01-01 02:00:00,1.2576,0.0,0.0,1.2576,0.0,0.0,0.0,0.0,1.0
2025-01-01 03:00:00,1.2092,0.0,0.0,1.2092,0.0,0.0,0.0,0.0,1.0
2025-01-01 04:00:00,1.0283,0.0,0.0,1.0283,0.0,0.0,0.0,0.0,1.0
2025-01-01 05:00:00,1.2927,0.0,0.0,1.2927,0.0,0.0,0.0,0.0,1.0
2025-01-01 06:00:00,1.8806,0.0,0.0,1.8806,0.0,0.0,0.0,0.0,1.0
2025-01-01 07:00:00,1.7252,0.9032,0.9032,0.822,0.0,0.0,0.0,0.0,1.0
2025-01-01 08:00:00,1.8219,1.4811,1.4811,0.3408,0.0,0.0,0.0,0.0,1.0
2025-01-01 09:00:00,1.3909,1.8287,1.8287,0.0,0.0,0.4378,0.0,0.4378,1.4159
2025-01-01 10:00:00,1.6311,2.5377,2.5377,0.0,0.0,0.9066,0.0,0.9066,2.2772
2025-01-01 11:00:00,1.0709,2.1866,2.1866,0.0,0.0,1.1156,0.0,1.1156,3.337
2025-01-01 12:00:00,1.1557,2.0886,2.0886,0.0,0.0,0.9329,0.0,0.9329,4.2233
2025-01-01 13:00:00,1.0088,2.1194,2.1194,0.0,0.0,1.1107,0.0,1.1107,5.2784
2025-01-01 14:00:00,1.149,2.2843,2.2843,0.0,0.0,1.1353,0.0,1.1353,6.357
2025-01-01 15:00:00,1.0741,1.6819,1.6819,0.0,0.0,0.6078,0.0,0.6078,6.9344
2025-01-01 16:00:00,1.352,1.409,1.409,2.464,0.0,2.5211,0.0,2.5211,9.3294
2025-01-01 17:00:00,1.934,0.886,0.886,0.0,0.0,0.0,1.048,-1.048,8.2263
2025-01-01 18:00:00,1.94,0.0,0.0,0.0,0.0,0.0,1.94,-1.94,6.1842
2025-01-01 19:00:00,1.961,0.0,0.0,0.0,0.0,0.0,1.961,-1.961,4.12
2025-01-01 20:00:00,1.8775,0.0,0.0,0.0,0.0,0.0,1.8775,-1.8775,2.1437
2025-01-01 21:00:00,1.0865,0.0,0.0,0.0,0.0,0.0,1.0865,-1.0865,1.0
2025-01-01 22:00:00,1.2048,0.0,0.0,1.2048,0.0,0.0,0.0,0.0,1.0
2025-01-01 23:00:00,1.0419,0.0,0.0,1.0419,0.0,0.0,0.0,0.0,1.0
2025-01-02 00:00:00,1.06,0.0,0.0,1.06,0.0,0.0,0.0,0.0,1.0
2025-01-02 01:00:00,1.0022,0.0,0.0,1.0022,0.0,0.0,0.0,0.0,1.0
2025-01-02 02:00:00,1.2361,0.0,0.0,1.2361,0.0,0.0,0.0,0.0,1.0
